caption,musicInfo/audio_canonical_id,musicInfo/audio_type,musicInfo/music_info/music_asset_info/allows_saving,musicInfo/music_info/music_asset_info/artist_id,musicInfo/music_info/music_asset_info/audio_id,musicInfo/music_info/music_asset_info/cover_artwork_thumbnail_uri,musicInfo/music_info/music_asset_info/cover_artwork_uri,musicInfo/music_info/music_asset_info/dark_message,musicInfo/music_info/music_asset_info/display_artist,musicInfo/music_info/music_asset_info/duration_in_ms,musicInfo/music_info/music_asset_info/fast_start_progressive_download_url,musicInfo/music_info/music_asset_info/has_lyrics,musicInfo/music_info/music_asset_info/highlight_start_times_in_ms/0,musicInfo/music_info/music_asset_info/highlight_start_times_in_ms/1,musicInfo/music_info/music_asset_info/highlight_start_times_in_ms/2,musicInfo/music_info/music_asset_info/id,musicInfo/music_info/music_asset_info/ig_username,musicInfo/music_info/music_asset_info/is_eligible_for_audio_effects,musicInfo/music_info/music_asset_info/is_eligible_for_vinyl_sticker,musicInfo/music_info/music_asset_info/is_explicit,musicInfo/music_info/music_asset_info/licensed_music_subtype,musicInfo/music_info/music_asset_info/lyrics,musicInfo/music_info/music_asset_info/progressive_download_url,musicInfo/music_info/music_asset_info/reactive_audio_download_url,musicInfo/music_info/music_asset_info/sanitized_title,musicInfo/music_info/music_asset_info/song_monetization_info,musicInfo/music_info/music_asset_info/spotify_track_metadata,musicInfo/music_info/music_asset_info/subtitle,musicInfo/music_info/music_asset_info/title,musicInfo/music_info/music_asset_info/web_30s_preview_download_url,musicInfo/music_info/music_consumption_info/allow_media_creation_with_music,musicInfo/music_info/music_consumption_info/audio_asset_start_time_in_ms,musicInfo/music_info/music_consumption_info/audio_muting_info/allow_audio_editing,musicInfo/music_info/music_consumption_info/audio_muting_info/mute_audio,musicInfo/music_info/music_consumption_info/audio_muting_info/mute_reason,musicInfo/music_info/music_consumption_info/audio_muting_info/mute_reason_str,musicInfo/music_info/music_consumption_info/audio_muting_info/show_muted_audio_toast,musicInfo/music_info/music_consumption_info/contains_lyrics,musicInfo/music_info/music_consumption_info/derived_content_id,musicInfo/music_info/music_consumption_info/display_labels,musicInfo/music_info/music_consumption_info/formatted_clips_media_count,musicInfo/music_info/music_consumption_info/ig_artist,musicInfo/music_info/music_consumption_info/ig_artist/full_name,musicInfo/music_info/music_consumption_info/ig_artist/id,musicInfo/music_info/music_consumption_info/ig_artist/is_private,musicInfo/music_info/music_consumption_info/ig_artist/is_verified,musicInfo/music_info/music_consumption_info/ig_artist/profile_pic_id,musicInfo/music_info/music_consumption_info/ig_artist/profile_pic_url,musicInfo/music_info/music_consumption_info/ig_artist/username,musicInfo/music_info/music_consumption_info/is_bookmarked,musicInfo/music_info/music_consumption_info/is_trending_in_clips,musicInfo/music_info/music_consumption_info/music_creation_restriction_reason,musicInfo/music_info/music_consumption_info/overlap_duration_in_ms,musicInfo/music_info/music_consumption_info/placeholder_profile_pic_url,musicInfo/music_info/music_consumption_info/previous_trend_rank,musicInfo/music_info/music_consumption_info/should_allow_music_editing,musicInfo/music_info/music_consumption_info/should_mute_audio,musicInfo/music_info/music_consumption_info/should_mute_audio_reason,musicInfo/music_info/music_consumption_info/should_mute_audio_reason_type,musicInfo/music_info/music_consumption_info/trend_rank,musicInfo/music_info/music_consumption_info/user_notes,musicInfo/original_sound_info,likesCount,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,hashtags/29,locationId,mentions/0,mentions/1,mentions/2,mentions/3,mentions/4,mentions/5,commentsCount,type,firstComment,ownerFullName,id,url,inputUrl,displayUrl,ownerId,ownerUsername
"⭐ New in the M&S Foodhall

Our shelves in the #biscuit aisle are stacked... and your cravings are about to be satisfied! All, baked for a satisfyingly crunchy texture and perfect for dunking in your cuppa. ☕

Come find your new fave in your local M&S Foodhall or via the link in bio. 

#MandSCy #Symeonides #thisisnotjust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,biscuit,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sidecar,,Symeonides Fashion House,3636647442344456144,https://www.instagram.com/p/DJ395S-Ri_Q/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/500234536_18029446970664069_8304616594961546459_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjEwODB4MTA3Ny5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=vs9pgIOMVk4Q7kNvwFVBb_G&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzNjY0Njg2MzUxMzc0MjQyNw%3D%3D.3-ccb7-5&oh=00_AfKYKLV-fYeMMQs_5ynXXCmvePNFyfiNQvj9Kr4aiLRfXg&oe=68350A81&_nc_sid=472314,50118064068,marksandspencer_symeonides
"Je jedno jestli ovocný, bylinný, černý, zelený nebo kořeněný. Čaj u nás milujeme v jakékoli podobě. 

Dnes je skvělá příležitost dopřát si svůj oblíbený šálek. Tento hřejivý nápoj má totiž dnes svůj svátek – slaví se totiž Mezinárodní den čaje!  Tak na zdraví. 

#marksandspenerczechrepublic #marksandspencerceskarepublika #mezinarodnidencaje #fairtrade #fairtradecaj #thisisnotjust #marksandspencerpotraviny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,marksandspenerczechrepublic,marksandspencerceskarepublika,mezinarodnidencaje,fairtrade,fairtradecaj,thisisnotjust,marksandspencerpotraviny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Image,,M&S Czech Republic,3636559987402185749,https://www.instagram.com/p/DJ3qAqNgZwV/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/499382580_18407983459097181_8950590451658850133_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNjh4MTcwOS5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=XkMbd6UYnWcQ7kNvwGT6tCR&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzNjU1OTk4NzQwMjE4NTc0OQ%3D%3D.3-ccb7-5&oh=00_AfLTyRRWhSyPcDdO8OSuwsEmIFkaVQVlINubRwPNGO3Zyw&oe=6834F85E&_nc_sid=472314,3090113180,marksandspencerczechrepublic
"Tonight on the menu: Mongolian stir-fried beef mince with fried egg and steamed rice, courtesy of @MarkMoriarty1.

 Catch Cook Like a Chef with Mark Moriarty in partnership with @mandsireland every Wednesday at 8pm on RTÉ One.

#MyMarksFave #ThisIsNotJust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,MyMarksFave,ThisIsNotJust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MarkMoriarty1.,mandsireland,,,,,0,Sidecar,,M&S Ireland,3633907348050085259,https://www.instagram.com/p/DJuO3rTNQWL/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/498304877_18496869658051591_6370264382838713483_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjEwODB4MTM1MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=vcy3dRogTG8Q7kNvwF8AN-s&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzMzkwNzI5MjU3NjI1MDE4Ng%3D%3D.3-ccb7-5&oh=00_AfJ7JfPfH2laGjqYzNs0NIEnLJ7giQ9JFLweLW3xH2Cajg&oe=6834F221&_nc_sid=472314,1001523590,marksandspencerireland
"A swirl of yoghurt, a sprinkle of crunch, and your favourite #frozenfruits! 
Discover a colourful fruit medley of juicy mango, plump blueberries, and ripe raspberries, perfect for chia puddings, yoghurt parfaits (and more!) in your local M&S Foodhall or via the link in bio. 
#MandSCy #Symeonides #thisisnotjust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,frozenfruits!,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Image,,Symeonides Fashion House,3632117261345067434,https://www.instagram.com/p/DJn32fJCZGq/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/497200372_18028777394664069_1476692376638713816_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTM1MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=gCny4OrQLKIQ7kNvwFxbp5p&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzMjExNzI2MTM0NTA2NzQzNA%3D%3D.3-ccb7-5&oh=00_AfInOeB170nvV1vw_Wq1tJ5mzK2bmffiVR8JOBgUlj7spg&oe=6834DA1A&_nc_sid=472314,50118064068,marksandspencer_symeonides
"You need these cookie dunkers in your life marksandspencerfood 

#cosy #hotchocolate #cookies #dunk #biscuit #dunking #cosyvibes #chocolate #hotelchocolat #foodie #hotdrink #mymarks #thisisnotjust #cookiedunkers #maltedmilk #new #relaxed #cosynights #coffee #tea #yum #nifoodblogger #belfastblogger #nibloggers #nifoodie #foodstagram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cosy,hotchocolate,cookies,dunk,biscuit,dunking,cosyvibes,chocolate,hotelchocolat,foodie,hotdrink,mymarks,thisisnotjust,cookiedunkers,maltedmilk,new,relaxed,cosynights,coffee,tea,yum,nifoodblogger,belfastblogger,nibloggers,nifoodie,foodstagram,,,,,,,,,,,,0,Image,,Ibtihal Morales,3631838098564961657,https://www.instagram.com/p/DJm4YIisdV5/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/497757487_17862720861399310_7773017913603124546_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjQxMng3MzIuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=8uIXJsQbz9YQ7kNvwEkElbL&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzMTgzODA5ODU2NDk2MTY1Nw%3D%3D.3-ccb7-5&oh=00_AfLlcuiqGelEqr98lFPWOHZqcGt-fvd-uw_i075_nAEp7w&oe=6835078D&_nc_sid=472314,71823271309,belfastfoodies
"Dnešní den patří ženám, které s námi byly u prvních slov, prvních krůčků i prvních přípitků. ❤️

Dnes patří všechny přípitky jim – maminkám. Na zdraví! 

#marksandspencerczechrepublic #marksandspencerceskarepublika #denmatek #denmatekdarek #thisisnotjust #marksandspencerpotraviny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,marksandspencerczechrepublic,marksandspencerceskarepublika,denmatek,denmatekdarek,thisisnotjust,marksandspencerpotraviny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Image,,M&S Czech Republic,3629930511464510854,https://www.instagram.com/p/DJgGpFnMbWG/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/497314561_18406696126097181_7824653363752217834_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=RjZIYy9tqvkQ7kNvwGEd1vs&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYyOTkzMDUxMTQ2NDUxMDg1NA%3D%3D.3-ccb7-5&oh=00_AfK2iWpfg7UVrqYj2XGGJwwkyyGdZoPgohos_OuRvydnPA&oe=6834F843&_nc_sid=472314,3090113180,marksandspencerczechrepublic
"Jak začít Světový den pro fair trade? Přece šálkem kávy nebo čaje od certifikovaných famářů.♻️

Podporujeme spravedlivý obchod, proto si dáváme záležet, aby naše kávová zrna a čajové lístky pocházeli z oveřených a férových zdrojů. 

#marksandspencerceskarepublika #marksandspencerczechrepublic #marksandspencerpotraviny #thisisnotjust #fairtrade #spravedlivyobchod",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,marksandspencerceskarepublika,marksandspencerczechrepublic,marksandspencerpotraviny,thisisnotjust,fairtrade,spravedlivyobchod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Image,,M&S Czech Republic,3629205679145160844,https://www.instagram.com/p/DJdh1Y6RxCM/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/496925660_18406547281097181_4701684944799329248_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=JOrQhbqiHTUQ7kNvwFctgdP&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYyOTIwNTY3OTE0NTE2MDg0NA%3D%3D.3-ccb7-5&oh=00_AfLvFgkfNBsYV-iRkPZ0HbnDm09cKaMzIBouzum1Ic-aGA&oe=6834D98F&_nc_sid=472314,3090113180,marksandspencerczechrepublic
"Bring the heat to BBQ season 

It’s the Grill trio you never knew you needed to spice up the summer season, and here are the 3 reasons your BBQ just levelled up… 

  Smashed Burgers – perfectly seasoned with cracked black pepper and sea salt. Get these thin, juicy patties onto a sizzling hot griddle to get
that irresistible, caramelised crust and stack up those buns! 

 Our Best Ever Posh Dogs – an elevated, classic recipe made with cherrywood smoked pork shoulder and an American-style smoky seasoning
blend. Enjoy with lashings of ketchup and mustard for the ultimate comfort bite in every mouthful  

 Nduja King Prawn Skewers – specially selected for succulence and smothered in a hot and smoky Italian nduja paste with chilli, garlic and paprika.

Summer has never tasted so good ☀️

Find our Grill range in your local M&S Foodhall 

#thisisnotjust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Image,,M&S Ireland,3628791547576000470,https://www.instagram.com/p/DJcDq-1NR_W/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/496492704_18495591934051591_6659480152497985609_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTM1MS5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=fvzep_Zj__YQ7kNvwEoOiBq&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYyODc5MTU0NzU3NjAwMDQ3MA%3D%3D.3-ccb7-5&oh=00_AfKGyUgzgIdIxpDACSjnqW4NhzmXTl5tqz6F8F8NzBgHTA&oe=6834F286&_nc_sid=472314,1001523590,marksandspencerireland
New Finds!  At M&S @marksandspencerfood #mandsfood #thisisnotjust #cake #truffles #chocolate #wellthisisnew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,mandsfood,thisisnotjust,cake,truffles,chocolate,wellthisisnew,,,,,,,,,,,,,,,,,,,,,,,,,,marksandspencerfood,,,,,,2,Sidecar,,Well This Is New,3628516912685807743,https://www.instagram.com/p/DJbFOhKInh_/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/496547245_18311761090236959_3685477511087409658_n.jpg?se=-1&stp=dst-jpegr_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5oZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=4pOXhYtkPZgQ7kNvwGPCZds&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYyODUxNjg5ODg2OTc2MTMwOQ%3D%3D.3-ccb7-5&oh=00_AfLM37gRHns4TJQ3iI71-Y72dr9TKZ628H9sBmAWhMGtOQ&oe=6834F027&_nc_sid=472314,7168316958,_well_this_is_new_
"⭐ New in the M&S Foodhall - let’s get the BALL rolling on brain health 

Our brilliant new mixed berry and almond butter Brain Food Brain Ball is here!

High in iron, zinc and vitamin B12, this tasty on-the-go snack provides at least 30% of the RNI of these essential brain-health nutrients in one go. 

Find it in your local M&S Foodhall or via the link in bio NOW! 

*Best enjoyed as part of a healthy lifestyle & a balanced, varied diet. High in iron and zinc, which contribute to normal cognitive function.*

#MandSCy #Symeonides #thisisnotjust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Image,,Symeonides Fashion House,3628493164023127182,https://www.instagram.com/p/DJa_07fiByO/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/496164279_18028218578664069_1102309324302908549_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=TgcZfUEWu4cQ7kNvwHooYPA&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYyODQ5MzE2NDAyMzEyNzE4Mg%3D%3D.3-ccb7-5&oh=00_AfL28i_84mGbskGQ5oMdqRlsMt5pN1uuQIfHOg5ujH9N4w&oe=6834F1DC&_nc_sid=472314,50118064068,marksandspencer_symeonides
"Made with love, our Irish bread is baked fresh in our in-store bakeries every day ☘ #ThisIsNotJust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,ThisIsNotJust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Image,,M&S Ireland,3628172464529773920,https://www.instagram.com/p/DJZ26I0JpVg/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/496238173_18495434701051591_457263229225986601_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0Mzh4ODA5LnNkci5mNzU3NjEuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=eVOH9rcdeZ4Q7kNvwHW44k2&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYyODE3MjQ2NDUyOTc3MzkyMA%3D%3D.3-ccb7-5&oh=00_AfI7eIEX9uip2ykIWTWlu0JyaBITqL3F_iyqyjCUYcTDpQ&oe=6834DDEE&_nc_sid=472314,1001523590,marksandspencerireland
"Sunny summer days  M&S Pizza Dine-In  Choose one pizza and one side for just €8.50

#thisisnotjust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Image,,M&S Galway,3628052896164115141,https://www.instagram.com/p/DJZbuMGMHLF/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/496791552_17901632904178506_7240078140792555782_n.webp?stp=dst-webp_s1080x1080&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTA1MS5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=hEm9tt4-rVQQ7kNvwFt_aiT&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYyODA1Mjg5NjE2NDExNTE0MQ%3D%3D.3-ccb7-5&oh=00_AfJQQ2UdHd9lzp3-372VsDwnTJ1v46to9S7Zm4XpCZPZ0Q&oe=6834DACD&_nc_sid=472314,65345002505,mands.galway
"⭐ New in the M&S Foodhall – and we’re BERRY excited! 

Introducing the Brain Food Mixed Berry Bar, packed with dates, smooth almond butter and freeze-dried strawberries, raspberries & blueberries! 

High in iron and a source of zinc to support brain health, it’s a no-brainer for smart, nutritious snacking on-the-go. ⚡

Find it in your local M&S Foodhall or via the link in bio NOW! 

*Best enjoyed as part of a healthy lifestyle and a balanced, varied diet. High in iron and zinc, which contribute to normal cognitive function.*

#MandSCy #Symeonides #thisisnotjust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Image,,Symeonides Fashion House,3626376666223390369,https://www.instagram.com/p/DJTel1UAq6h/,https://www.instagram.com/explore/tags/ThisIsNotJust,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/495242958_18027912422664069_4238484754948509043_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTM1MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QG90VLWHw8PtCbLZZ3ip0D2K00zj0XOPVDmmpxfozzTdxfpC7Zs6mnk6-1mDMfhlVuL1Hf2TgROWIm77qneDHR3&_nc_ohc=lZN9mzKmPsgQ7kNvwHwbO0L&_nc_gid=asezoInHiiAfIzdu51b9Vw&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYyNjM3NjY2NjIyMzM5MDM2OQ%3D%3D.3-ccb7-5&oh=00_AfKJEXb-EjxAx92SuqRxSZg2baWTgDcTGBn7z2R7bbTsPQ&oe=6834F769&_nc_sid=472314,50118064068,marksandspencer_symeonides
